id,task_id,user_id,status,prompt_id,workflow_params,started_at,finished_at,error_message,created_at,updated_at,img_url,action,images,original_images,sub_task_id
"71","fd005cbfb007badd","ead32b80af5d4ed5ad1d7fccf10fee91","2","fd005cbfb007badd","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""fd005cbfb007badd"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/8vbt9v/1764659856342.png"", ""filename"": ""1764660201764.png""}]}","2025-12-02 15:23:22","2025-12-02 15:24:26",null,"2025-12-02 15:23:22","2025-12-02 15:24:26",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/fd005cbfb007badd/2025/12/02/5110307ab2df49d8970b7becd6733cab.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/8vbt9v/1764659856342.png""]","5bac52ad-9037-4f"
"70","fd005cbfb007badd","ead32b80af5d4ed5ad1d7fccf10fee91","2","fd005cbfb007badd","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""fd005cbfb007badd"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/oktsgv/1764659855674.png"", ""filename"": ""1764660201764.png""}]}","2025-12-02 15:23:22","2025-12-02 15:23:53",null,"2025-12-02 15:23:22","2025-12-02 15:23:53",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/fd005cbfb007badd/2025/12/02/4395c2022cd34a0cb9fb137bcc2ee841.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/oktsgv/1764659855674.png""]","b1938b1a-01f3-44"
"69","a441d92e2f7c62f3","ead32b80af5d4ed5ad1d7fccf10fee91","2","a441d92e2f7c62f3","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""a441d92e2f7c62f3"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/rxm2sr/1764659140375.png"", ""filename"": ""1764659210749.png""}]}","2025-12-02 15:06:51","2025-12-02 15:08:51",null,"2025-12-02 15:06:51","2025-12-02 15:08:50",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/a441d92e2f7c62f3/2025/12/02/f8525442e3eb46698c53ed069a85af6f.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/rxm2sr/1764659140375.png""]","2630ae15-4f14-4b"
"68","a441d92e2f7c62f3","ead32b80af5d4ed5ad1d7fccf10fee91","2","a441d92e2f7c62f3","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""a441d92e2f7c62f3"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/sqi46t/1764659139916.png"", ""filename"": ""1764659210749.png""}]}","2025-12-02 15:06:51","2025-12-02 15:08:26",null,"2025-12-02 15:06:51","2025-12-02 15:08:26",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/a441d92e2f7c62f3/2025/12/02/534b23b0f8a04a9bb8ccad89265034f2.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/sqi46t/1764659139916.png""]","7f70d403-5cbd-48"
"67","a441d92e2f7c62f3","ead32b80af5d4ed5ad1d7fccf10fee91","2","a441d92e2f7c62f3","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""a441d92e2f7c62f3"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/dblt8a/1764659139554.png"", ""filename"": ""1764659210749.png""}]}","2025-12-02 15:06:51","2025-12-02 15:07:59",null,"2025-12-02 15:06:51","2025-12-02 15:07:59",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/a441d92e2f7c62f3/2025/12/02/c9ef99bde40940ef9bebfbba3d8964cc.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/dblt8a/1764659139554.png""]","1a9a91f3-4308-42"
"66","a441d92e2f7c62f3","ead32b80af5d4ed5ad1d7fccf10fee91","2","a441d92e2f7c62f3","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""a441d92e2f7c62f3"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/ow1j3k/1764659139206.png"", ""filename"": ""1764659210749.png""}]}","2025-12-02 15:06:51","2025-12-02 15:07:31",null,"2025-12-02 15:06:51","2025-12-02 15:07:30",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/a441d92e2f7c62f3/2025/12/02/50b2fdd8555848da8d760dda1d483aa5.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/ow1j3k/1764659139206.png""]","260b5d97-39cc-43"
"65","a441d92e2f7c62f3","ead32b80af5d4ed5ad1d7fccf10fee91","2","a441d92e2f7c62f3","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 4096, ""action"": ""hires"", ""height"": 4096, ""taskId"": ""a441d92e2f7c62f3"", ""userId"": ""ead32b80af5d4ed5ad1d7fccf10fee91"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/1oyrxf/1764659138570.png"", ""filename"": ""1764659210749.png""}]}","2025-12-02 15:06:51","2025-12-02 15:07:25",null,"2025-12-02 15:06:51","2025-12-02 15:07:24",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/a441d92e2f7c62f3/2025/12/02/14908e5abeff40618104dc6c79247864.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ead32b80af5d4ed5ad1d7fccf10fee91/20251202/1oyrxf/1764659138570.png""]","2fbdf1a8-5808-46"
"64","1bbcb12722ff4581","cf990285411744dc9145b0d0fb72f348","2","1bbcb12722ff4581","{""count"": 1, ""model"": ""nano-banana-fast"", ""action"": ""img2img"", ""prompt"": ""你随机发挥"", ""taskId"": ""1bbcb12722ff4581"", ""userId"": ""cf990285411744dc9145b0d0fb72f348"", ""artStyle"": ""realistic"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/08d4309814f56c7b/1763799614627.jpg"", ""filename"": ""1764656403142.jpg""}], ""aux_imageList"": []}","2025-12-02 14:20:03","2025-12-02 14:20:26",null,"2025-12-02 14:20:03","2025-12-02 14:20:25",null,"img2img","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/1bbcb12722ff4581/2025/12/02/d69c4005575b4920a7cd7d76d6182628.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/08d4309814f56c7b/1763799614627.jpg""]","b0f1c4ed-121b-48"
"63","0ab30683573f62ac","cf990285411744dc9145b0d0fb72f348","2","9afce205-19db-42a3-bb79-0566a0d303a0","{""count"": 4, ""model"": ""comfy"", ""action"": ""fission"", ""prompt"": """", ""taskId"": ""0ab30683573f62ac"", ""userId"": ""cf990285411744dc9145b0d0fb72f348"", ""toolType"": ""fission"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/7df05a009182cd49/1763821207621.jpg"", ""filename"": ""1763821207621.jpg""}], ""creative_strength"": 0.5, ""reference_strength"": 0.7}","2025-12-02 14:19:28","2025-12-02 14:22:59",null,"2025-12-02 14:19:27","2025-12-02 14:22:59",null,"fission","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/7bf48ff79fdc49608dbe7ba49cc78ef0.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/5adc68e891404939ba82f937869d3094.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/fa0afa691e5542b1a6b29a1c5112aa63.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/0f898d6054e8430993a734edbf875062.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/7df05a009182cd49/1763821207621.jpg""]","c050dd6a-073f-41"
"62","0ab30683573f62ac","cf990285411744dc9145b0d0fb72f348","2","c10dbc76-a1ce-4873-9e1f-f9a2c66427bf","{""count"": 4, ""model"": ""comfy"", ""action"": ""fission"", ""prompt"": """", ""taskId"": ""0ab30683573f62ac"", ""userId"": ""cf990285411744dc9145b0d0fb72f348"", ""toolType"": ""fission"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/b07a68a7b4473638/1763821294246.jpg"", ""filename"": ""1763821294246.jpg""}], ""creative_strength"": 0.5, ""reference_strength"": 0.7}","2025-12-02 14:19:28","2025-12-02 14:21:46",null,"2025-12-02 14:19:27","2025-12-02 14:21:46",null,"fission","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/e6fcdd10817544cfbcf661ea51842218.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/9d354e78ffba4d6dafc3a9436e75cc1b.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/fe4858f6eb0e4f559a0c80a1f7ee8ef8.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/4c4ebfff53384728916c2dbb933387c1.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251122/b07a68a7b4473638/1763821294246.jpg""]","9a70d693-ff54-41"
